City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,shostka,51.863,33.4698,2.91,71,92,3.49,UA,2023-05-08 23:26:49
1,sitka,57.0531,-135.33,8.94,71,100,4.63,US,2023-05-08 23:20:13
2,tiksi,71.6872,128.8694,-9.16,82,92,6.64,RU,2023-05-08 23:20:56
3,auki,-8.7676,160.7034,29.21,74,44,1.08,SB,2023-05-08 23:23:24
4,tolanaro,-25.0319,46.9987,23.04,88,20,5.14,MG,2023-05-08 23:22:13
5,waitangi,-43.9535,-176.5597,16.01,95,100,4.47,NZ,2023-05-08 23:21:49
6,bodo,67.28,14.405,9.02,59,0,6.17,NO,2023-05-08 23:23:14
7,utrik,11.2278,169.8474,26.89,84,100,8.57,MH,2023-05-08 23:22:34
8,bredasdorp,-34.5322,20.0403,12.85,93,25,0.97,ZA,2023-05-08 23:20:59
9,adamstown,-25.066,-130.1015,21.58,56,100,5.94,PN,2023-05-08 23:22:33
10,bayanhongor,46.7167,100.1167,-5.48,91,84,1.63,MN,2023-05-08 23:22:20
11,maloye ganyushkino,46.6,49.2667,12.23,58,66,9.69,KZ,2023-05-08 23:26:51
12,palmas,-10.2128,-48.3603,27.93,74,20,2.57,BR,2023-05-08 23:26:51
13,puerto baquerizo moreno,-0.9,-89.6,26.39,86,52,5.12,EC,2023-05-08 23:22:52
14,okha,53.5739,142.9478,1.28,84,99,5.53,RU,2023-05-08 23:26:52
15,port mathurin,-19.6833,63.4167,25.65,74,64,9.51,MU,2023-05-08 23:18:27
16,peniche,39.3558,-9.3811,18.49,85,72,5.42,PT,2023-05-08 23:26:52
17,college,64.8569,-147.8028,11.99,42,75,2.57,US,2023-05-08 23:22:31
18,salug,8.1147,122.7833,27.58,81,100,1.1,PH,2023-05-08 23:26:53
19,port elizabeth,-33.918,25.5701,18.51,89,0,2.68,ZA,2023-05-08 23:22:55
20,remire-montjoly,4.9167,-52.2667,25.02,94,75,1.54,GF,2023-05-08 23:21:22
21,thompson,55.7435,-97.8558,21.09,28,75,3.09,CA,2023-05-08 23:23:00
22,santa elena de uairen,4.6167,-61.1333,21.24,88,99,0.98,VE,2023-05-08 23:21:55
23,blackmans bay,-43.0167,147.3167,13.74,69,93,6.17,AU,2023-05-08 23:22:39
24,papatowai,-46.5619,169.4708,14.14,90,97,5.47,NZ,2023-05-08 23:23:00
25,birao,10.2849,22.7882,30.25,33,24,1.12,CF,2023-05-08 23:26:54
26,ashburton,-37.8626,145.0794,12.55,89,100,0.45,AU,2023-05-08 23:26:54
27,albany,42.6001,-73.9662,18.1,33,37,3.13,US,2023-05-08 23:21:50
28,anloga,5.7947,0.8973,28.68,75,27,4.62,GH,2023-05-08 23:26:55
29,tahoua,14.8888,5.2692,28.6,13,52,0.96,NE,2023-05-08 23:26:55
30,bilibino,68.0546,166.4372,-2.57,80,100,1.89,RU,2023-05-08 23:22:49
31,uturoa,-16.7333,-151.4333,27.65,74,40,3.75,PF,2023-05-08 23:23:11
32,dudinka,69.4058,86.1778,-8.51,97,83,2.08,RU,2023-05-08 23:22:26
33,dunedin,-45.8742,170.5036,17.26,57,100,3.85,NZ,2023-05-08 23:18:28
34,susuman,62.7833,148.1667,1.4,80,74,0.74,RU,2023-05-08 23:22:54
35,tazovsky,67.4667,78.7,-10.51,90,99,11.82,RU,2023-05-08 23:22:31
36,port-aux-francais,-49.35,70.2167,6.09,96,100,20.62,TF,2023-05-08 23:20:56
37,nova sintra,14.8667,-24.7167,20.48,80,0,8.19,CV,2023-05-08 23:21:18
38,wailua homesteads,22.0669,-159.378,28.24,70,75,7.72,US,2023-05-08 23:18:43
39,kirawsk,53.2686,29.4736,2.4,62,9,2.56,BY,2023-05-08 23:26:57
40,afaahiti,-17.75,-149.2833,28.93,75,63,3.04,PF,2023-05-08 23:21:26
41,perm,58.0174,56.2855,-2.3,69,0,3.0,RU,2023-05-08 23:26:57
42,vilyuchinsk,52.9306,158.4028,5.15,86,100,8.36,RU,2023-05-08 23:22:40
43,hermanus,-34.4187,19.2345,16.0,87,14,1.38,ZA,2023-05-08 23:21:41
44,taloda,21.5667,74.2167,28.63,59,1,4.22,IN,2023-05-08 23:26:57
45,cidade velha,14.9167,-23.6167,23.26,78,20,7.72,CV,2023-05-08 23:26:58
46,ust-nera,64.5667,143.2,0.41,60,96,1.98,RU,2023-05-08 23:22:46
47,viedma,-40.8135,-62.9967,10.07,65,1,0.88,AR,2023-05-08 23:24:16
48,avarua,-21.2078,-159.775,27.03,83,20,7.2,CK,2023-05-08 23:22:59
49,saipan,15.1355,145.701,30.39,70,20,5.66,MP,2023-05-08 23:23:11
50,grytviken,-54.2811,-36.5092,-0.34,71,10,3.36,GS,2023-05-08 23:22:26
51,la gi,10.6667,107.7833,27.23,84,100,1.38,VN,2023-05-08 23:26:58
52,talnakh,69.4865,88.3972,-3.27,97,100,0.66,RU,2023-05-08 23:20:05
53,boysun,38.2061,67.1986,12.29,50,1,2.04,UZ,2023-05-08 23:26:59
54,qaqortoq,60.7167,-46.0333,1.36,86,92,1.25,GL,2023-05-08 23:18:50
55,pokhara,28.2333,83.9833,19.87,33,0,3.56,NP,2023-05-08 23:26:38
56,holtville,32.8112,-115.3803,32.93,15,0,5.14,US,2023-05-08 23:26:59
57,nova granada,-20.5339,-49.3142,26.14,63,37,2.1,BR,2023-05-08 23:26:59
58,kampene,-3.6,26.6667,20.57,99,100,0.78,CD,2023-05-08 23:27:00
59,longyearbyen,78.2186,15.6401,-2.09,86,75,1.54,SJ,2023-05-08 23:22:27
